Channel|Center|Kode|Item|Category |Group|Size|Satuan|Type|Month|Forecast Branch|Forecast Machine (Branch)|Forecast Headquarter (Branch+HO)|"Forecast Machine Headquarter (Branch+HO)
"|Avg Gross Weight (kg/unit)|Avg Volume (m³/unit)
AB|DC SUKABUMI|026|Moka|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1|1|9|16|0.50|1,200.000
AB|DC SUKABUMI|027|Minyak|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1|1|9|24|5.00|2,200.000
AB|DC SUKABUMI|028|Sabun Colek|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|11|11|19|38|5.00|1,900.000
AB|DC SUKABUMI|029|Sabun Mandi|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|35|35|43|164|0.50|800.000
AB|DC SUKABUMI|030|Sampo|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|45|45|53|386|0.40|800.000
AB|DC SUKABUMI|031|Wijen|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|3|3|11|4|0.50|1,000.000
AB|DC SUKABUMI|032|Rimpang|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1|1|9|8|5.00|1,000.000
AB|DC SUKABUMI|033|Dodol|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|819|819|827|564|0.80|2,600.000
AB|DC SUKABUMI|034|Uli|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|89|89|97|228|0.80|2,600.000
AB|DC SUKABUMI|035|Singkong|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|47|47|55|54|2.00|2,100.000
AB|DC SUKABUMI|037|Ubi|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|283|283|291|392|2.00|2,100.000
AB|DC SUKABUMI|038|Terong|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|369|369|377|362|5.20|2,500.000
AB|DC SUKABUMI|040|Kacang|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|1,203|1,203|1,211|2,368|5.00|2,100.000
AB|DC SUKABUMI|041|Toge|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|255|255|263|238|5.00|1,000.000
AB|DC SUKABUMI|042|Tomat|IMPORT|WATER|72X50 GR|CAR|Blue|APR 2026|8|8|20|12|5.20|1,000.000
AB|DC SUKABUMI|044|Bombay|IMPORT|WATER|72X50 GR|CAR|Blue|APR 2026|0|0|8|0|5.50|1,000.000
AB|DC SUKABUMI|001|Cabe|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|4|4|12|4|5.00|2,000.000
AB|DC SUKABUMI|004|Terong|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|7|7|15|7|5.20|2,500.000
AB|DC SUKABUMI|008|Kentang|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|3|3|11|3|2.00|3,378.000
AB|DC SUKABUMI|009|Daging|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|2|2|10|2|2.50|6,600.000
AB|DC SUKABUMI|010|Ikan |IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|96|96|104|68|8.50|3,500.000
AB|DC SUKABUMI|011|Bawang|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|170|170|178|170|5.50|2,000.000
AB|DC SUKABUMI|012|Kopi|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|9|9|17|7|0.50|1,500.000
AB|DC SUKABUMI|013|Susu|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|65|65|73|65|5.00|1,500.000
AB|DC SUKABUMI|014|Jahe|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|2|2|10|2|5.00|2,000.000
AB|DC SUKABUMI|015|Kunyit|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AB|DC SUKABUMI|016|Asam|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|10|10|18|10|0.50|2,000.000
AB|DC SUKABUMI|017|Gula|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|24|24|32|17|5.00|2,000.000
AB|DC SUKABUMI|018|Aren|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|2|10|0|5.00|2,000.000
AB|DC SUKABUMI|019|Garam|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|6|14|0|5.00|2,000.000
AB|DC SUKABUMI|020|Kemiri|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|21|21|29|21|0.50|1,000.000
AB|DC SUKABUMI|021|Merica|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|6|6|10|2|0.30|1,000.000
AB|DC SUKABUMI|022|Lada|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|10|18|0|0.30|1,000.000
AB|DC SUKABUMI|023|Mie|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|12|12|10|12|0.80|3,800.000
AB|DC SUKABUMI|024|Beras|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|30|38|0|5.00|800.000
AB|DC SUKABUMI|025|Sirup|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|31|31|39|31|5.20|1,200.000
AB|DC SUKABUMI|026|Moka|IMPORT|RICE|72X50 GR|CAR|Looked|APR 2026|0|10|18|0|0.50|1,200.000
AB|DC SUKABUMI|027|Minyak|IMPORT|RICE|72X50 GR|CAR|Looked|APR 2026|1|1|9|1|5.00|2,200.000
AB|DC SUKABUMI|028|Sabun Colek|IMPORT|RICE|72X50 GR|CAR|Looked|APR 2026|1|1|9|1|5.00|1,900.000
AB|DC SUKABUMI|029|Sabun Mandi|IMPORT|RICE|72X50 GR|PAC|Looked|APR 2026|191|191|199|191|0.50|800.000
AB|DC SUKABUMI|030|Sampo|IMPORT|RICE|72X50 GR|PAC|Looked|APR 2026|10|10|18|10|0.40|800.000
AB|DC SUKABUMI|031|Wijen|IMPORT|RICE|72X50 GR|PAC|Looked|APR 2026|7,523|7,523|7,531|7,523|0.50|1,000.000
AB|DC SUKABUMI|032|Rimpang|IMPORT|RICE|72X50 GR|PAC|Looked|APR 2026|0|3|11|0|5.00|1,000.000
AB|DC SUKABUMI|033|Dodol|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|0|6|14|0|0.80|2,600.000
AB|DC SUKABUMI|034|Uli|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|167|167|175|167|0.80|2,600.000
AB|DC SUKABUMI|035|Singkong|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|0|130|138|0|2.00|2,100.000
AB|DC SUKABUMI|037|Ubi|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|147|147|155|147|2.00|2,100.000
AB|DC SUKABUMI|038|Terong|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|0|55|63|0|5.20|2,500.000
AB|DC SUKABUMI|040|Kacang|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|8|8|16|8|5.00|2,100.000
AB|DC SUKABUMI|041|Toge|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|40|40|48|40|5.00|1,000.000
AB|DC SUKABUMI|042|Tomat|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|37|37|45|37|5.20|1,000.000
AB|DC SUKABUMI|044|Bombay|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|26|26|34|38|5.50|1,000.000
AB|DC SUKABUMI|001|Cabe|IMPORT|LIGHT|72X50 GR|PAC|Cucumber|APR 2026|175|175|183|175|5.00|2,000.000
AB|DC SUKABUMI|004|Terong|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|13|13|21|716|5.20|2,500.000
AB|DC SUKABUMI|008|Kentang|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|2,674|2,674|2,682|3,758|2.00|3,378.000
AB|DC SUKABUMI|009|Daging|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|1|1|9|0|2.50|6,600.000
AB|DC SUKABUMI|010|Ikan |LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|1|1|9|8|8.50|3,500.000
AB|DC SUKABUMI|011|Bawang|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|3|3|11|62|5.50|2,000.000
AB|DC SUKABUMI|012|Kopi|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|1|1|9|20|0.50|1,500.000
AB|DC SUKABUMI|013|Susu|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|68,496|68,496|68,504|98,088|5.00|1,500.000
AB|DC SUKABUMI|014|Jahe|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|56|56|64|104|5.00|2,000.000
AB|DC SUKABUMI|015|Kunyit|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|11|11|19|28|5.00|2,000.000
AB|DC SUKABUMI|016|Asam|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|25|25|33|180|0.50|2,000.000
AB|DC SUKABUMI|017|Gula|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|55|55|63|140|5.00|2,000.000
AB|DC SUKABUMI|018|Aren|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|35|35|43|484|5.00|2,000.000
AB|DC SUKABUMI|019|Garam|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|1,667|5.00|2,000.000
AB|DC SUKABUMI|020|Kemiri|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|5,354|5,354|5,362|6,856|0.50|1,000.000
AB|DC SUKABUMI|021|Merica|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AB|DC SUKABUMI|022|Lada|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|0|0.30|1,000.000
AB|DC SUKABUMI|023|Mie|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|3|3|11|1|0.80|3,800.000
AB|DC SUKABUMI|024|Beras|LOCAL|ROUND|72X50 GR|BAG|Oaka|APR 2026|3|3|11|5|5.00|800.000
AB|DC SUKABUMI|025|Sirup|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|0|5.20|1,200.000
AB|DC SUKABUMI|026|Moka|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|8|8|9|4|0.50|1,200.000
AB|DC SUKABUMI|027|Minyak|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|372|372|380|340|5.00|2,200.000
AB|DC SUKABUMI|028|Sabun Colek|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|674|674|682|775|5.00|1,900.000
AB|DC SUKABUMI|029|Sabun Mandi|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|236|236|244|244|0.50|800.000
AB|DC SUKABUMI|030|Sampo|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1,742|1,742|1,750|1,907|0.40|800.000
AB|DC SUKABUMI|031|Wijen|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|8|8|16|0|0.50|1,000.000
AB|DC SUKABUMI|032|Rimpang|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1|1|9|0|5.00|1,000.000
AB|DC SUKABUMI|033|Dodol|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|17|17|25|29|0.80|2,600.000
AB|DC SUKABUMI|034|Uli|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|7|7|15|20|0.80|2,600.000
AB|DC SUKABUMI|035|Singkong|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|3|3|11|18|2.00|2,100.000
AB|DC SUKABUMI|037|Ubi|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|3|3|11|18|2.00|2,100.000
AB|DC SUKABUMI|038|Terong|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|2|2|10|16|5.20|2,500.000
AB|DC SUKABUMI|040|Kacang|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|2|2|10|12|5.00|2,100.000
AB|DC SUKABUMI|041|Toge|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|5|5|9|12|5.00|1,000.000
AB|DC SUKABUMI|042|Tomat|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|5,326|5,326|5,334|3,712|5.20|1,000.000
AB|DC SUKABUMI|044|Bombay|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|5,450|5,450|5,458|7,816|5.50|1,000.000
AB|DC SUKABUMI|001|Cabe|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|60|60|68|8|5.00|2,000.000
AB|DC SUKABUMI|004|Terong|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|114|114|122|136|5.20|2,500.000
AB|DC SUKABUMI|008|Kentang|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|451|451|459|296|2.00|3,378.000
AB|DC SUKABUMI|009|Daging|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|83|83|91|24|2.50|6,600.000
AB|DC SUKABUMI|010|Ikan |LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|45|45|53|8|8.50|3,500.000
AB|DC SUKABUMI|011|Bawang|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|3|3|11|56|5.50|2,000.000
AB|DC SUKABUMI|012|Kopi|LOCAL|LIGHT|72X50 GR|PC|Cucumber|APR 2026|3|3|11|40|0.50|1,500.000
AB|DC SUKABUMI|013|Susu|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|264|5.00|1,500.000
AB|DC SUKABUMI|014|Jahe|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|5|5|13|88|5.00|2,000.000
AB|DC SUKABUMI|015|Kunyit|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|2|2|10|2|5.00|2,000.000
AB|DC SUKABUMI|016|Asam|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|1|1|9|1|0.50|2,000.000
AB|DC SUKABUMI|017|Gula|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|105|105|113|52|5.00|2,000.000
AB|DC SUKABUMI|018|Aren|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|2|2|10|2|5.00|2,000.000
AB|DC SUKABUMI|019|Garam|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|24|24|32|24|5.00|2,000.000
AB|DC SUKABUMI|020|Kemiri|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|3|3|11|2|0.50|1,000.000
AB|DC SUKABUMI|021|Merica|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|799|799|807|27,080|0.30|1,000.000
AB|DC SUKABUMI|022|Lada|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|13|13|21|64|0.30|1,000.000
AB|DC SUKABUMI|023|Mie|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|58|58|66|2,104|0.80|3,800.000
AB|DC SUKABUMI|024|Beras|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|0|5.00|800.000
AB|DC SUKABUMI|025|Sirup|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|1|1|9|0|5.20|1,200.000
AB|DC SUKABUMI|026|Moka|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|30|30|38|52|0.50|1,200.000
AB|DC SUKABUMI|027|Minyak|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|6|6|14|2|5.00|2,200.000
AB|DC SUKABUMI|028|Sabun Colek|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|27|27|35|50|5.00|1,900.000
AB|DC SUKABUMI|029|Sabun Mandi|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|1|1|9|14|0.50|800.000
AB|DC SUKABUMI|030|Sampo|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|334|334|342|36|0.40|800.000
AB|DC SUKABUMI|031|Wijen|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|184,927|184,927|184,935|257,165|0.50|1,000.000
AB|DC SUKABUMI|032|Rimpang|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|934|934|942|1,520|5.00|1,000.000
AB|DC SUKABUMI|033|Dodol|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|11,167|11,167|11,175|9,640|0.80|2,600.000
AB|DC SUKABUMI|034|Uli|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|1,921|1,921|1,929|2,084|0.80|2,600.000
AB|DC SUKABUMI|035|Singkong|IMPORT|WATER|72X50 GR|PAC|Blue|APR 2026|463|463|471|463|2.00|2,100.000
AB|DC SUKABUMI|037|Ubi|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|5|5|13|8|2.00|2,100.000
AB|DC SUKABUMI|038|Terong|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|27|27|35|0|5.20|2,500.000
AB|DC SUKABUMI|040|Kacang|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|10|10|18|0|5.00|2,100.000
AB|DC SUKABUMI|041|Toge|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|314|314|322|8|5.00|1,000.000
AB|DC SUKABUMI|042|Tomat|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|230|230|238|0|5.20|1,000.000
AB|DC SUKABUMI|044|Bombay|LOCAL|WATER|72X50 GR|PC|Blue|APR 2026|5|5|13|0|5.50|1,000.000
AB|DC SUKABUMI|001|Cabe|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|0|0|8|0|5.00|2,000.000
AB|DC SUKABUMI|004|Terong|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|1|1|9|1|5.20|2,500.000
AB|DC SUKABUMI|008|Kentang|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|0|0|8|0|2.00|3,378.000
AB|DC SUKABUMI|009|Daging|IMPORT|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|0|0|8|0|2.50|6,600.000
AB|DC SUKABUMI|010|Ikan |LOCAL|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|32|32|40|54|8.50|3,500.000
AB|DC SUKABUMI|011|Bawang|LOCAL|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|1|1|9|6|5.50|2,000.000
AB|DC SUKABUMI|012|Kopi|LOCAL|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|0|0|8|0|0.50|1,500.000
AB|DC SUKABUMI|013|Susu|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|4|5.00|1,500.000
AB|DC SUKABUMI|014|Jahe|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|7|17|0|5.00|2,000.000
AB|DC SUKABUMI|015|Kunyit|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|54|54|62|86|5.00|2,000.000
AB|DC SUKABUMI|016|Asam|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|0|602|610|0|0.50|2,000.000
AB|DC SUKABUMI|017|Gula|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AB|DC SUKABUMI|018|Aren|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|514|514|522|514|5.00|2,000.000
AB|DC SUKABUMI|019|Garam|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AB|DC SUKABUMI|020|Kemiri|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|0|39|47|0|0.50|1,000.000
AB|DC SUKABUMI|021|Merica|IMPORT|ROUND|72X50 GR|PAC|Oaka|APR 2026|0|48|56|0|0.30|1,000.000
AB|DC SUKABUMI|022|Lada|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AB|DC SUKABUMI|023|Mie|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|0|0.80|3,800.000
AB|DC SUKABUMI|024|Beras|LOCAL|ROUND|72X50 GR|PC|Oaka|APR 2026|130|130|138|548|5.00|800.000
AB|DC SUKABUMI|025|Sirup|IMPORT|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|0|8|0|5.20|1,200.000
AB|DC SUKABUMI|026|Moka|LOCAL|RICE|72X50 GR|PC|Looked|APR 2026|5,851|5,851|5,859|1,400|0.50|1,200.000
